Prow Job	Variants	Extended Variants
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-serial-virtualmedia-2of2	metal-ipi-ovn-serial-virtualmedia-2of2	ha,serial
periodic-ci-openshift-hypershift-release-4.22-periodics-e2e-azure-kubevirt-ovn	hypershift-kubevirt-ovn-conformance-4.22	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-console-aws	aws-console	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-upgrade-from-stable-4.21-e2e-gcp-ovn-rt-upgrade	aggregated-gcp-ovn-rt-upgrade-4.22-minor	upgrade-micro,ha,parallel
periodic-ci-openshift-hypershift-release-4.22-periodics-e2e-azure-aks-ovn-conformance	aggregated-hypershift-aks-conformance-4.22	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-azure-ovn	azure-ovn	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-azure-ovn-techpreview-serial	azure-ovn-techpreview-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-driver-toolkit	driver-toolkit	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-upi	aws-upi	ha,parallel
periodic-ci-openshift-cluster-control-plane-machine-set-operator-release-4.22-periodics-e2e-azure	azure-control-plane-machine-set-operator	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-azure-ovn-serial	azure-ovn-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-gcp-ovn-csi	gcp-ovn-csi	ha,parallel,csi
periodic-ci-openshift-release-master-ci-4.22-e2e-gcp-ovn-techpreview-serial	gcp-ovn-techpreview-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-upgrade	metal-ipi-ovn-upgrade	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-upgrade-from-stable-4.21-e2e-metal-ipi-upgrade-ovn-ipv6	metal-ipi-upgrade-ovn-ipv6-minor	upgrade-micro,ha,parallel
periodic-ci-openshift-kni-eco-ci-cd-main-nightly-4.22-telcov10n-metal-single-node-spoke-kpis	telcov10n-metal-single-node-spoke-kpis	single-node,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-azure-csi	azure-csi	ha,parallel,csi
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-dualstack	metal-ipi-ovn-dualstack	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-osd-ccs-gcp	openshift-dedicated-gcp-conformance	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-ovn-csi	vsphere-ovn-csi	ha,parallel,csi
periodic-ci-openshift-release-master-ci-4.22-upgrade-from-stable-4.21-e2e-vsphere-ovn-upgrade	vsphere-ovn-upgrade-minor	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-single-node	aws-ovn-single-node	single-node,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-single-node-techpreview	aws-ovn-single-node-techpreview	single-node,parallel
periodic-ci-openshift-release-master-nightly-4.22-upgrade-from-stable-4.21-e2e-aws-upgrade-ovn-single-node	aws-ovn-single-node-upgrade-minor	upgrade-micro,single-node,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-dualstack-techpreview	metal-ipi-ovn-dualstack-techpreview	ha,parallel
periodic-ci-openshift-eng-ocp-qe-perfscale-ci-main-aws-4.22-nightly-x86-payload-control-plane-6nodes	qe-perfscale	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-aws-ovn	aws-ovn	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-single-node-csi	aws-ovn-single-node-csi	single-node,parallel,csi
periodic-ci-openshift-release-master-nightly-4.22-e2e-agent-ha-dualstack-conformance	agent-ha-dualstack	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-upgrade-fips	aggregated-aws-ovn-upgrade-4.22-micro-fips	upgrade-micro,ha,parallel
periodic-ci-openshift-hypershift-release-4.22-periodics-e2e-aws-ovn-conformance	aggregated-hypershift-ovn-conformance-4.22	ha,parallel
periodic-ci-openshift-microshift-release-4.22-periodics-e2e-aws-ovn-ocp-conformance	microshift-ovn-conformance-parallel	ha,parallel
periodic-ci-openshift-microshift-release-4.22-periodics-e2e-aws-ovn-ocp-conformance-serial	microshift-ovn-conformance-serial	ha,serial
periodic-ci-openshift-release-master-ci-4.22-e2e-vsphere-ovn-upgrade	vsphere-ovn-upgrade-micro	upgrade-micro,ha,parallel
periodic-ci-openshift-cluster-control-plane-machine-set-operator-release-4.22-periodics-e2e-aws	aws-control-plane-machine-set-operator	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-aws-ovn-techpreview	aws-ovn-techpreview	ha,parallel
periodic-ci-openshift-osde2e-main-nightly-4.22-osd-aws	openshift-dedicated-aws	ha,parallel
periodic-ci-openshift-kni-eco-ci-cd-main-nightly-4.22-telcov10n-metal-single-node-spoke	telcov10n-metal-single-node-spoke	single-node,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-static-ovn	vsphere-static-ovn	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-single-node-serial	aws-ovn-single-node-serial	single-node,serial
periodic-ci-openshift-release-master-cnv-nightly-4.22-deploy-azure-kubevirt-ovn	cnv	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-ipv4	metal-ipi-ovn-ipv4	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-overall-analysis-all	overall-analysis-all	ha,parallel
periodic-ci-openshift-cluster-control-plane-machine-set-operator-release-4.22-periodics-e2e-gcp	gcp-control-plane-machine-set-operator	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-gcp-ovn	gcp-ovn	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-gcp-ovn-upgrade	gcp-ovn-upgrade-micro	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-upgrade-analysis-all	upgrade-analysis-all	upgrade-micro,ha,parallel
periodic-ci-openshift-osde2e-main-nightly-4.22-osd-gcp	openshift-dedicated-gcp-osde2e	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ovn-single-node-live-iso	ovn-single-node-live-iso	single-node,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-rosa-sts-ovn	rosa-classic-sts-conformance	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-aws-ovn-upgrade-out-of-change	aws-ovn-upgrade-out-of-change	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-ipv6	metal-ipi-ovn-ipv6	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-upgrade-from-stable-4.21-e2e-aws-ovn-upgrade	upgrade-minor-ovn	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-csi	aws-csi	ha,parallel,csi
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-serial-2of2	aws-ovn-serial-2of2	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-serial-virtualmedia-1of2	metal-ipi-ovn-serial-virtualmedia-1of2	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-proxy	ovn-proxy	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-ovn	vsphere-ovn	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-fips	aws-ovn-fips	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-cgroupsv2	aws-ovn-cgroupsv2	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-azure-ovn-techpreview	azure-ovn-techpreview	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-gcp-ovn-serial	gcp-ovn-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-serial-ipv4	metal-ipi-ovn-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-upgrade-ovn-ipv6	metal-ipi-upgrade-ovn-ipv6	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-azure-ovn-upgrade	aggregated-azure-ovn-upgrade-4.22-micro	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-single-node-techpreview-serial	aws-ovn-single-node-techpreview-serial	single-node,serial
periodic-ci-openshift-release-master-ci-4.22-e2e-aws-ovn-techpreview-serial-3of3	aws-ovn-techpreview-serial-3of3	ha,serial
periodic-ci-openshift-release-master-ci-4.22-e2e-azure-ovn-upgrade-out-of-change	azure-ovn-upgrade-out-of-change	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-gcp-ovn-rt	gcp-ovn-rt	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-serial-ovn-ipv6	metal-ipi-serial-ipv6	ha,serial
periodic-ci-openshift-release-master-ci-4.22-e2e-aws-upgrade-ovn-single-node	aggregated-aws-ovn-single-node-upgrade-4.22-micro	upgrade-micro,single-node,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-agent-compact-fips	agent-compact-ipv4	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-ovn-serial	vsphere-ovn-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-ovn-techpreview-serial	vsphere-ovn-techpreview-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-ovn-upi-serial	vsphere-ovn-upi-serial	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-agent-single-node-ipv6-conformance	agent-single-node-ipv6	single-node,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-aws-ovn-techpreview-serial-2of3	aws-ovn-techpreview-serial-2of3	ha,serial
periodic-ci-openshift-release-master-ci-4.22-e2e-gcp-ovn-techpreview	gcp-ovn-techpreview	ha,parallel
periodic-ci-openshift-release-master-ci-4.22-upgrade-from-stable-4.21-e2e-gcp-ovn-upgrade	gcp-ovn-upgrade-4.22-minor	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-upgrade-from-stable-4.21-e2e-metal-ipi-ovn-upgrade	metal-ipi-ovn-upgrade-minor	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-ipv6-techpreview	metal-ipi-ovn-ipv6-techpreview	ha,parallel
periodic-ci-openshift-osde2e-main-nightly-4.22-rosa-classic-sts	rosa-classic-sts-osde2e	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-upgrade-fips-no-nat-instance	aws-ovn-upgrade-4.22-micro-fips-no-nat-instance	upgrade-micro,ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-aws-ovn-serial-1of2	aws-ovn-serial-1of2	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-install-analysis-all	install-analysis-all	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-ovn-techpreview	metal-ipi-ovn-techpreview	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-ovn-techpreview	vsphere-ovn-techpreview	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-metal-ovn-single-node-recert-cluster-rename	metal-ovn-single-node-recert-cluster-rename	single-node,parallel
periodic-ci-openshift-release-master-ci-4.22-e2e-aws-ovn-techpreview-serial-1of3	aws-ovn-techpreview-serial-1of3	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-metal-ipi-serial-ovn-dualstack	metal-ipi-serial-ovn-dualstack	ha,serial
periodic-ci-openshift-release-master-nightly-4.22-e2e-telco5g	telco5g	ha,parallel
periodic-ci-openshift-release-master-nightly-4.22-e2e-vsphere-ovn-upi	vsphere-ovn-upi	ha,parallel
